genus,species,species authority,new to this study,sample name,voucher,country,notes,
Siphocampylus,bogotensis,E. Wimm.,TRUE,Siph_bogotensis_A347_Lago659,,,,
Siphocampylus,boliviensis,Zahlbr.,TRUE,Siph_boliviensis_A210_Lago378_L3,,,,
Siphocampylus,clotho,E. Wimm.,TRUE,Siph_clotho_A208_Lago367_L3,,,,
Siphocampylus,columnae,(L.f.) G.Don,TRUE,Siph_columnae_A357_JAS4781,,,,
Siphocampylus,correoides,E. Wimm.,TRUE,Siph_correoides_A201_Lago413_L2,,,,
Siphocampylus,corynellus,Gleason,TRUE,Siph_corynellus_ARC6_weigand5815_L1,,,,
Siphocampylus,corynoides,E. Wimm.,TRUE,Siph_corynoides_A209_Lago350_L3,,,,
Siphocampylus,ecuadorensis,E. Wimm.,TRUE,Siph_ecuadoriensis_ARC7_Clarck1906_L1,,,,
Siphocampylus,elfriedii,E. Wimm.,TRUE,Siph_elfriedii_A214_Lago387_L3,,,,
Siphocampylus,fulgens,Lebas,TRUE,LL360_S_fulgens,,,,
Siphocampylus,jelskii,Zahlbr.,TRUE,Siph_jelskii_A215_Lago321_L3,,,,
Siphocampylus,krauseanus,E. Wimm.,TRUE,Siph_krauseanus_A203_Lago418_L2,,,,
Siphocampylus,lasiandrus,Planch.,TRUE,Siph_lasiandrus_A370_Lago853,,,,
Siphocampylus,longibracteolatus,E. Wimm.,TRUE,Siph_sp_A406_Lago649,,,,
Siphocampylus,matthaei,A. DC.,TRUE,Siph_matthaei_A207_Lago320_L3,,,,
Siphocampylus,purdieanus,Planch.,TRUE,Siph_purdieanus_A368_Lago820,,,,
Siphocampylus,retrorsus,(Willd. ex Schult.) Vatke,TRUE,Siph_sp_A414_Lago856,,,,
Siphocampylus,rosmarinifolius,G. Don,TRUE,Siph_rosmarinifolius_A206_Lago357_L3,,,,
Siphocampylus,rusbyanus,Britton,TRUE,Siph_rusbyanus_A17_Lago460_L4,,,,
Siphocampylus,rusbyanus,Britton,TRUE,Siph_rusbyanus_A213_Lago460_L3,,,,
Siphocampylus,sanguineus,Zahlbr.,TRUE,LL373_S_sangineus,,,,
Siphocampylus,secundus,E. Wimm.,TRUE,Siph_secundus_A212_Lago313_L3,,,,
Siphocampylus,smilax,Lammers,TRUE,Siph_smilax_A205_Lago248_L1,,,,
Siphocampylus,sp. 1,Pohl,TRUE,Siph_sp_A350_CMT220,,,,
Siphocampylus,sp. 3,Pohl,TRUE,Siph_sp_A415_Lago882,,,,
Siphocampylus,tunarensis,Zahlbr.,TRUE,Siph_tunarensis_A211_Lago232_L3,,,,
Siphocampylus,tupaeformis,Zahlbr.,TRUE,Siph_tupaeformis_A199_Lago434_L2,,,,
Siphocampylus,veteranus,E. Wimm.,TRUE,Siph_veteranus_A204_Lago385_L2,,,,
